R,D,Analytic,Numerical
1e-05,7e-06,8.385243892515236e-12,3.02706e-11
1.0555555555555557e-05,6.5555555555555556e-06,9.362172945251207e-12,3.18101e-11
1.1111111111111112e-05,6.111111111111111e-06,1.0464094520320963e-11,4.37339e-11
1.1666666666666668e-05,5.666666666666666e-06,1.1718069115483835e-11,4.70142e-11
1.2222222222222222e-05,5.222222222222222e-06,1.3159782728053727e-11,6.61452e-11
1.2777777777777779e-05,4.777777777777777e-06,1.4837337733025175e-11,8.35942e-11
1.3333333333333333e-05,4.333333333333333e-06,1.6817259776656958e-11,8.83236e-11
1.388888888888889e-05,3.888888888888889e-06,1.9194409817621348e-11,1.27496e-10
1.4444444444444446e-05,3.4444444444444444e-06,2.2109154173964243e-11,1.48017e-10
1.5e-05,3e-06,2.577892607669661e-11,9.67386e-10
