R,D,Analytic,Numerical
1e-05,7e-06,1.264250868944875e-11,3.02706e-11
1.0555555555555557e-05,6.5555555555555556e-06,1.4071623689550135e-11,3.18101e-11
1.1111111111111112e-05,6.111111111111111e-06,1.5674397464447013e-11,4.37339e-11
1.1666666666666668e-05,5.666666666666666e-06,1.7486991887335184e-11,4.70142e-11
1.2222222222222222e-05,5.222222222222222e-06,1.955670608675017e-11,6.61452e-11
1.2777777777777779e-05,4.777777777777777e-06,2.1946714601065973e-11,8.35942e-11
1.3333333333333333e-05,4.333333333333333e-06,2.4743487655137915e-11,8.83236e-11
1.388888888888889e-05,3.888888888888889e-06,2.8068871896288397e-11,1.27496e-10
1.4444444444444446e-05,3.4444444444444444e-06,3.210069229315635e-11,1.48017e-10
1.5e-05,3e-06,3.71099253188572e-11,9.67386e-10
