c,Analytic,Numerical,Analytic Area,Numerical Area,Mesh Time,TTH Time,nex Time,Num Elements,Num Nodes
4,3.9703938427462754e-10,4.63438e-10,1.184352528130723e-10,108.078,1.2132477760314941,2.342941999435425,0.08238005638122559,4029,1664
5,3.9703938427462754e-10,4.43001e-10,1.184352528130723e-10,113.579,1.8826212882995605,5.070786714553833,0.11515140533447266,7452,2832
6,3.9703938427462754e-10,4.3123e-10,1.184352528130723e-10,115.403,3.1021034717559814,16.526537656784058,0.24705910682678223,12803,4305
7,3.9703938427462754e-10,4.23487e-10,1.184352528130723e-10,116.384,3.997612476348877,13.520943403244019,0.3021230697631836,13033,5143
8,3.9703938427462754e-10,4.19702e-10,1.184352528130723e-10,117.581,4.898093223571777,14.666739463806152,0.27720141410827637,15433,6456
9,3.9703938427462754e-10,4.15885e-10,1.184352528130723e-10,117.956,6.813946485519409,20.903523445129395,0.4212198257446289,19826,8297
10,3.9703938427462754e-10,4.13354e-10,1.184352528130723e-10,118.319,8.743054866790771,28.417864084243774,0.4286994934082031,24825,10314
11,3.9703938427462754e-10,4.1192e-10,1.184352528130723e-10,118.575,10.507783889770508,34.99153447151184,0.5686550140380859,29692,12220
12,3.9703938427462754e-10,4.10314e-10,1.184352528130723e-10,118.718,15.094429969787598,47.786723613739014,0.6454532146453857,36067,14607
13,3.9703938427462754e-10,4.097e-10,1.184352528130723e-10,119.068,16.12957239151001,66.76716446876526,0.875070333480835,44477,17530
14,3.9703938427462754e-10,4.09335e-10,1.184352528130723e-10,119.317,18.21656560897827,84.36881518363953,0.7939808368682861,52499,20346
