R,D,Analytic,Numerical
1.5e-05,2e-07,7.940787685492551e-10,8.27942e-10
1.5e-05,6.222222222222221e-07,2.552396041765463e-10,2.66451e-10
1.5e-05,1.0444444444444445e-06,1.520576365307084e-10,1.58799e-10
1.5e-05,1.4666666666666667e-06,1.0828346843853478e-10,1.13612e-10
1.5e-05,1.8888888888888888e-06,8.4078928434627e-11,8.85919e-11
1.5e-05,2.311111111111111e-06,6.871835497060862e-11,7.25561e-11
1.5e-05,2.733333333333333e-06,5.8103324527994275e-11,6.17398e-11
1.5e-05,3.155555555555555e-06,5.0328936034811943e-11,5.36223e-11
1.5e-05,3.577777777777778e-06,4.4389496378529785e-11,4.74451e-11
1.5e-05,4e-06,3.970393842746275e-11,4.21615e-11
