R,D,Analytic,Numerical
1.5e-05,1.8e-07,8.823097428325056e-10,9.20446e-10
1.5e-05,2.772413793103448e-07,5.728428927345373e-10,5.95612e-10
1.5e-05,3.7448275862068965e-07,4.240936332951823e-10,4.41552e-10
1.5e-05,4.7172413793103444e-07,3.366708229229298e-10,3.49857e-10
1.5e-05,5.689655172413793e-07,2.791307186415563e-10,2.90656e-10
1.5e-05,6.662068965517241e-07,2.383880361069192e-10,2.48233e-10
1.5e-05,7.634482758620689e-07,2.0802424831010297e-10,2.17378e-10
1.5e-05,8.606896551724138e-07,1.84521508717375e-10,1.92388e-10
1.5e-05,9.579310344827587e-07,1.6579038364239306e-10,1.73153e-10
1.5e-05,1.0551724137931035e-06,1.505116620126039e-10,1.57142e-10
1.5e-05,1.1524137931034483e-06,1.378113960977163e-10,1.44368e-10
1.5e-05,1.249655172413793e-06,1.2708766163315892e-10,1.33068e-10
1.5e-05,1.3468965517241378e-06,1.1791236194535789e-10,1.23529e-10
1.5e-05,1.4441379310344826e-06,1.0997270433585673e-10,1.15163e-10
1.5e-05,1.5413793103448276e-06,1.030348290287624e-10,1.08228e-10
1.5e-05,1.6386206896551724e-06,9.692038841720705e-11,1.01761e-10
1.5e-05,1.7358620689655172e-06,9.149099836284622e-11,9.62962e-11
1.5e-05,1.833103448275862e-06,8.663763840454628e-11,9.10986e-11
1.5e-05,1.930344827586207e-06,8.22732557625166e-11,8.65765e-11
1.5e-05,2.0275862068965518e-06,7.832749757798775e-11,8.25023e-11
1.5e-05,2.1248275862068966e-06,7.474288960703797e-11,7.86046e-11
1.5e-05,2.2220689655172414e-06,7.147201827414152e-11,7.53748e-11
1.5e-05,2.319310344827586e-06,6.847542161144335e-11,7.2315e-11
1.5e-05,2.416551724137931e-06,6.571998940618835e-11,6.94662e-11
1.5e-05,2.5137931034482757e-06,6.31777346719572e-11,6.6783e-11
1.5e-05,2.6110344827586205e-06,6.08248396405927e-11,6.43874e-11
1.5e-05,2.7082758620689653e-06,5.864090727763789e-11,6.22625e-11
1.5e-05,2.8055172413793105e-06,5.6608368456067834e-11,6.01275e-11
1.5e-05,2.9027586206896553e-06,5.471200828683392e-11,5.81568e-11
1.5e-05,3e-06,5.2938584569950335e-11,5.64423e-11
