R,D,Analytic,Numerical,Analytic Area,Numerical Area,Mesh Time,TTH Time,nex Time,Num Elements,Num Nodes
3e-05,1e-05,3.1763150741970196e-11,1.8299e-11,5.9217626406536156e-09,5968.5,0.9103395938873291,17.555126190185547,0.34171104431152344,15638,7830
3.0344827586206897e-05,9.665517241379312e-06,3.324006737178472e-11,1.93882e-11,5.7894794292278375e-09,5828.11,1.228233814239502,18.39463186264038,0.3278787136077881,15318,7670
3.0689655172413796e-05,9.331034482758621e-06,3.4822867898932595e-11,2.0838e-11,5.6526428212412716e-09,5701.1,1.373333215713501,18.707191467285156,0.39157700538635254,14950,7486
3.103448275862069e-05,8.996551724137932e-06,3.652336229433139e-11,2.22949e-11,5.511252816693918e-09,5550.98,1.545969009399414,18.346898317337036,0.3397383689880371,14576,7299
3.137931034482759e-05,8.662068965517243e-06,3.835518468045764e-11,2.40165e-11,5.3653094155857766e-09,5409.85,1.167443037033081,17.281612634658813,0.31334972381591797,14152,7087
3.172413793103448e-05,8.327586206896552e-06,4.033415967234312e-11,2.59395e-11,5.214812617916846e-09,5256.61,1.22011399269104,17.457964181900024,0.3126809597015381,13692,6857
3.206896551724138e-05,7.993103448275863e-06,4.247876069892477e-11,2.81063e-11,5.059762423687128e-09,5098.75,1.1771745681762695,17.606454133987427,0.3402376174926758,13330,6676
3.2413793103448275e-05,7.658620689655174e-06,4.481068842481162e-11,3.02679e-11,4.900158832896623e-09,4943.74,1.3224537372589111,15.817914724349976,0.31210994720458984,13020,6521
3.275862068965517e-05,7.324137931034483e-06,4.7355607666151426e-11,3.3154e-11,4.736001845545329e-09,4773.37,1.1327574253082275,15.818169593811035,0.27718567848205566,12516,6269
3.310344827586207e-05,6.989655172413794e-06,5.0144095892602185e-11,3.64304e-11,4.567291461633249e-09,4602.43,1.1979906558990479,14.63536286354065,0.2646040916442871,12042,6032
3.344827586206897e-05,6.655172413793104e-06,5.3212877754250595e-11,4.00544e-11,4.3940276811603785e-09,4429.87,1.0080890655517578,14.007773399353027,0.282604455947876,11560,5791
3.3793103448275865e-05,6.320689655172414e-06,5.660645158598072e-11,4.43536e-11,4.21621050412672e-09,4245.79,1.002805233001709,12.87902307510376,0.24881958961486816,11122,5572
3.413793103448276e-05,5.986206896551725e-06,6.037926120305395e-11,4.95724e-11,4.0338399305322755e-09,4059.87,0.7706732749938965,12.870136499404907,0.251666784286499,10596,5309
3.4482758620689657e-05,5.651724137931035e-06,6.45986388895062e-11,5.55469e-11,3.846915960377042e-09,3877.03,0.8985714912414551,10.979291677474976,0.21671128273010254,10200,5111
3.482758620689655e-05,5.317241379310345e-06,6.934885916426697e-11,6.31768e-11,3.65543859366102e-09,3677.67,0.7286064624786377,10.795228481292725,0.2352123260498047,9590,4806
3.517241379310345e-05,4.982758620689656e-06,7.473682527522398e-11,7.22762e-11,3.459407830384211e-09,3478.96,0.7617342472076416,10.124089479446411,0.27599167823791504,9064,4543
3.5517241379310344e-05,4.648275862068966e-06,8.090021084131875e-11,8.40541e-11,3.2588236705466135e-09,3279.8,0.8590054512023926,9.327482223510742,0.20628046989440918,8546,4284
3.586206896551725e-05,4.313793103448276e-06,8.801938921302694e-11,9.78242e-11,3.0536861141482283e-09,3063.16,0.6790850162506104,7.770948171615601,0.18453502655029297,8014,4018
3.620689655172414e-05,3.979310344827587e-06,9.633537920008291e-11,1.17413e-10,2.843995161189056e-09,2852.94,0.6583108901977539,7.321478366851807,0.18254518508911133,7434,3728
3.655172413793104e-05,3.6448275862068973e-06,1.0617767198514163e-10,1.4327e-10,2.629750811669094e-09,2631.89,0.6540119647979736,5.955377578735352,0.17029666900634766,6812,3417
3.6896551724137934e-05,3.3103448275862073e-06,1.1800892810384763e-10,1.77554e-10,2.4109530655883448e-09,2406.86,1.0013093948364258,5.53712272644043,0.21785640716552734,6224,3123
3.724137931034483e-05,2.9758620689655182e-06,1.3249981769535653e-10,2.0705e-10,2.1876019229468082e-09,2188.7,0.9122130870819092,5.893348693847656,0.16141653060913086,6506,3264
3.7586206896551726e-05,2.6413793103448283e-06,1.5066072371082467e-10,2.31376e-10,1.959697383744483e-09,1958.99,0.8367364406585693,6.289130210876465,0.18895387649536133,7434,3728
3.793103448275862e-05,2.3068965517241384e-06,1.7408802100731052e-10,2.62036e-10,1.7272394479813697e-09,1726.13,1.2940106391906738,8.370126008987427,0.1926865577697754,8540,4281
3.827586206896552e-05,1.9724137931034493e-06,2.0546094011414281e-10,3.02496e-10,1.4902281156574693e-09,1489.74,1.4444191455841064,9.020179986953735,0.23994827270507812,10046,5034
3.862068965517241e-05,1.6379310344827585e-06,2.4964721986671317e-10,3.60997e-10,1.2486633867727796e-09,1246.66,2.210815668106079,10.858116149902344,0.31932711601257324,12048,6035
3.8965517241379316e-05,1.3034482758620695e-06,3.1651111409547017e-10,4.35989e-10,1.0025452613273033e-09,1000.88,2.749882459640503,13.826780796051025,0.35002923011779785,15544,7783
3.931034482758621e-05,9.689655172413804e-07,4.295372698202371e-10,5.67642e-10,7.51873739321039e-10,751.066,3.8843283653259277,21.325727224349976,0.619671106338501,21140,10581
3.965517241379311e-05,6.344827586206896e-07,6.617323071243794e-10,8.28849e-10,4.966488207539853e-10,497.064,19.448336124420166,32.084540605545044,0.6742382049560547,32090,16056
4e-05,3e-07,1.411695588532009e-09,1.57993e-09,2.368705056261446e-10,236.671,171.41768550872803,71.11722326278687,2.2533159255981445,68250,34136
