R,D,Analytic,Numerical,Analytic Area,Numerical Area,Mesh Time,TTH Time,nex Time,Num Elements,Num Nodes
3e-05,1e-05,3.1763150741970196e-11,7.35384e-12,5.9217626406536156e-09,5968.45,0.977064847946167,15.667243957519531,0.6834697723388672,15638,7830
3.0344827586206897e-05,9.665517241379312e-06,3.324006737178472e-11,7.62593e-12,5.7894794292278375e-09,5828.23,1.5785348415374756,15.016738891601562,0.4884512424468994,15318,7670
3.0689655172413796e-05,9.331034482758621e-06,3.4822867898932595e-11,7.93456e-12,5.6526428212412716e-09,5701.03,1.564767837524414,17.220113277435303,0.4899170398712158,14950,7486
3.103448275862069e-05,8.996551724137932e-06,3.652336229433139e-11,8.23437e-12,5.511252816693918e-09,5550.82,2.0167577266693115,18.015400409698486,0.35403013229370117,14576,7299
3.137931034482759e-05,8.662068965517243e-06,3.835518468045764e-11,8.57466e-12,5.3653094155857766e-09,5409.94,1.258183479309082,16.478042602539062,0.669633150100708,14152,7087
3.172413793103448e-05,8.327586206896552e-06,4.033415967234312e-11,8.92518e-12,5.214812617916846e-09,5256.87,1.6298577785491943,15.586337566375732,0.40222716331481934,13692,6857
3.206896551724138e-05,7.993103448275863e-06,4.247876069892477e-11,9.30302e-12,5.059762423687128e-09,5099.18,1.379713773727417,15.564560890197754,0.3639681339263916,13330,6676
3.2413793103448275e-05,7.658620689655174e-06,4.481068842481162e-11,9.71128e-12,4.900158832896623e-09,4943.66,1.3827364444732666,14.304431676864624,0.2990751266479492,13020,6521
3.275862068965517e-05,7.324137931034483e-06,4.7355607666151426e-11,1.01279e-11,4.736001845545329e-09,4773.29,1.0775861740112305,13.790588140487671,0.3296186923980713,12516,6269
3.310344827586207e-05,6.989655172413794e-06,5.0144095892602185e-11,1.05699e-11,4.567291461633249e-09,4602.34,1.1948363780975342,14.073129415512085,0.27507758140563965,12042,6032
3.344827586206897e-05,6.655172413793104e-06,5.3212877754250595e-11,1.1053e-11,4.3940276811603785e-09,4429.88,1.0911109447479248,11.90953803062439,0.31890130043029785,11560,5791
3.3793103448275865e-05,6.320689655172414e-06,5.660645158598072e-11,1.1563e-11,4.21621050412672e-09,4245.8,1.2165756225585938,10.66508960723877,0.2570955753326416,11122,5572
3.413793103448276e-05,5.986206896551725e-06,6.037926120305395e-11,1.2099e-11,4.0338399305322755e-09,4059.7,0.9944474697113037,10.025460481643677,0.26318812370300293,10596,5309
3.4482758620689657e-05,5.651724137931035e-06,6.45986388895062e-11,1.27279e-11,3.846915960377042e-09,3876.66,1.2309496402740479,10.048032283782959,0.28160953521728516,10200,5111
3.482758620689655e-05,5.317241379310345e-06,6.934885916426697e-11,1.33292e-11,3.65543859366102e-09,3677.88,0.9694151878356934,8.334457159042358,0.23747873306274414,9590,4806
3.517241379310345e-05,4.982758620689656e-06,7.473682527522398e-11,1.39983e-11,3.459407830384211e-09,3478.93,1.5691454410552979,7.8977954387664795,0.21541118621826172,9064,4543
3.5517241379310344e-05,4.648275862068966e-06,8.090021084131875e-11,1.47457e-11,3.2588236705466135e-09,3279.71,1.3552992343902588,7.78078031539917,0.21525859832763672,8546,4284
3.586206896551725e-05,4.313793103448276e-06,8.801938921302694e-11,1.54535e-11,3.0536861141482283e-09,3063.06,0.9235854148864746,6.172661066055298,0.1891613006591797,8014,4018
3.620689655172414e-05,3.979310344827587e-06,9.633537920008291e-11,1.62893e-11,2.843995161189056e-09,2852.75,0.8297715187072754,6.3394975662231445,0.20241379737854004,7434,3728
3.655172413793104e-05,3.6448275862068973e-06,1.0617767198514163e-10,1.70567e-11,2.629750811669094e-09,2631.88,0.6907291412353516,5.935542821884155,0.24626851081848145,6812,3417
3.6896551724137934e-05,3.3103448275862073e-06,1.1800892810384763e-10,1.77728e-11,2.4109530655883448e-09,2406.97,0.870614767074585,4.932932615280151,0.15558862686157227,6224,3123
3.724137931034483e-05,2.9758620689655182e-06,1.3249981769535653e-10,1.96144e-11,2.1876019229468082e-09,2189.23,0.7422044277191162,4.517632484436035,0.1793365478515625,6506,3264
3.7586206896551726e-05,2.6413793103448283e-06,1.5066072371082467e-10,2.21561e-11,1.959697383744483e-09,1958.87,0.8358275890350342,5.064554214477539,0.16724467277526855,7434,3728
3.793103448275862e-05,2.3068965517241384e-06,1.7408802100731052e-10,2.55309e-11,1.7272394479813697e-09,1726.27,0.9013583660125732,5.417917251586914,0.19116592407226562,8540,4281
3.827586206896552e-05,1.9724137931034493e-06,2.0546094011414281e-10,3.01425e-11,1.4902281156574693e-09,1489.66,1.4485437870025635,6.497750520706177,0.2121288776397705,10046,5034
3.862068965517241e-05,1.6379310344827585e-06,2.4964721986671317e-10,3.61767e-11,1.2486633867727796e-09,1246.68,2.1223392486572266,7.750019788742065,0.3428192138671875,12048,6035
3.8965517241379316e-05,1.3034482758620695e-06,3.1651111409547017e-10,4.59794e-11,1.0025452613273033e-09,1000.84,3.055804967880249,9.499716520309448,0.33431410789489746,15544,7783
3.931034482758621e-05,9.689655172413804e-07,4.295372698202371e-10,6.25994e-11,7.51873739321039e-10,751.069,3.739323854446411,13.017765998840332,0.44183921813964844,21140,10581
3.965517241379311e-05,6.344827586206896e-07,6.617323071243794e-10,9.56645e-11,4.966488207539853e-10,497.064,19.378056287765503,19.3282151222229,0.6438238620758057,32090,16056
4e-05,3e-07,1.411695588532009e-09,2.03356e-10,2.368705056261446e-10,236.669,188.72940969467163,57.85518479347229,1.9875059127807617,68250,34136
