simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
0,0,1e-05,7e-06,7.97317e-11,267,94,0.32308077812194824,0.5716321468353271,0.04309535026550293
0,0,1e-05,7e-06,2.28407e-11,3397,1198,1.0102167129516602,2.913750171661377,0.07673835754394531
0,1,1e-05,7e-06,1.92434e-11,17265,5821,3.137881278991699,21.06779980659485,0.24410057067871094
0,2,1e-05,7e-06,1.93646e-11,34110,11073,9.91902470588684,43.22442030906677,0.361358642578125
0,3,1e-05,7e-06,1.9374e-11,42137,13630,15.019352912902832,57.096500873565674,0.48155951499938965
1,0,1.0555555555555557e-05,6.5555555555555556e-06,9.40245e-11,279,98,0.5905344486236572,0.9772012233734131,0.05784964561462402
1,0,1.0555555555555557e-05,6.5555555555555556e-06,2.53167e-11,2962,1016,1.3338263034820557,2.725558042526245,0.06768321990966797
1,1,1.0555555555555557e-05,6.5555555555555556e-06,2.24183e-11,15667,5292,2.985795497894287,18.85828709602356,0.19639015197753906
1,2,1.0555555555555557e-05,6.5555555555555556e-06,2.24401e-11,31892,10408,8.748598098754883,40.85357356071472,0.3757641315460205
1,3,1.0555555555555557e-05,6.5555555555555556e-06,2.24764e-11,41504,13433,15.004585266113281,59.019986391067505,0.5095057487487793
2,0,1.1111111111111112e-05,6.111111111111111e-06,7.74032e-11,313,108,0.5119311809539795,0.9570193290710449,0.057361602783203125
2,0,1.1111111111111112e-05,6.111111111111111e-06,2.89503e-11,3387,1135,1.5766985416412354,3.241220474243164,0.0887598991394043
2,1,1.1111111111111112e-05,6.111111111111111e-06,2.71062e-11,17269,5818,4.061416149139404,18.67623543739319,0.23293423652648926
2,2,1.1111111111111112e-05,6.111111111111111e-06,2.70749e-11,33334,10929,9.516647577285767,44.033281326293945,0.3815779685974121
2,3,1.1111111111111112e-05,6.111111111111111e-06,2.71186e-11,43867,14171,14.021177053451538,59.44198298454285,0.49086833000183105
3,0,1.1666666666666668e-05,5.666666666666666e-06,7.82531e-11,325,112,0.4640309810638428,1.0901484489440918,0.0727090835571289
3,0,1.1666666666666668e-05,5.666666666666666e-06,3.41264e-11,3051,1024,1.5339362621307373,2.6796391010284424,0.06632375717163086
3,1,1.1666666666666668e-05,5.666666666666666e-06,3.21341e-11,15612,5233,3.0013840198516846,16.831610918045044,0.2221848964691162
3,2,1.1666666666666668e-05,5.666666666666666e-06,3.19186e-11,32530,10730,9.013607501983643,40.90179204940796,0.40039801597595215
3,3,1.1666666666666668e-05,5.666666666666666e-06,3.19186e-11,45126,14530,15.56847333908081,0.8839521408081055,0.35604000091552734
4,0,1.2222222222222222e-05,5.222222222222222e-06,7.8843e-11,405,134,0.36573266983032227,0.7413637638092041,0.046146392822265625
4,0,1.2222222222222222e-05,5.222222222222222e-06,4.34348e-11,2327,788,0.914741039276123,1.9367239475250244,0.0598454475402832
4,1,1.2222222222222222e-05,5.222222222222222e-06,3.83285e-11,12128,4086,2.395237684249878,13.384026050567627,0.1893463134765625
4,2,1.2222222222222222e-05,5.222222222222222e-06,3.74354e-11,29898,9907,8.04507303237915,36.279900550842285,0.32429957389831543
4,3,1.2222222222222222e-05,5.222222222222222e-06,3.73654e-11,44039,14235,17.291978120803833,58.84586572647095,0.5853302478790283
