simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
0,0,1e-05,7e-06,7.97317e-11,267,94,0.3078339099884033,0.49463820457458496,0.03656506538391113
0,0,1e-05,7e-06,2.28407e-11,3397,1198,0.8567242622375488,2.564410448074341,0.06148886680603027
0,1,1e-05,7e-06,1.92434e-11,17265,5821,2.7088332176208496,18.131062269210815,0.18339991569519043
0,2,1e-05,7e-06,1.93646e-11,34110,11073,7.438662528991699,40.570985555648804,0.33954310417175293
0,3,1e-05,7e-06,1.9374e-11,42137,13630,12.607398748397827,54.737244844436646,0.4486374855041504
0,4,1e-05,7e-06,1.9374e-11,47703,15360,15.515148401260376,0.854621410369873,0.39368224143981934
1,0,1.0102040816326531e-05,6.9183673469387755e-06,8.32073e-11,280,98,0.37656688690185547,0.5890374183654785,0.03856325149536133
1,0,1.0102040816326531e-05,6.9183673469387755e-06,2.27715e-11,2745,948,0.784663200378418,2.3440725803375244,0.05625343322753906
1,1,1.0102040816326531e-05,6.9183673469387755e-06,1.99285e-11,15460,5214,2.5528218746185303,18.20897603034973,0.16996169090270996
1,2,1.0102040816326531e-05,6.9183673469387755e-06,1.98794e-11,31828,10294,7.446441173553467,39.98581123352051,0.31052112579345703
1,3,1.0102040816326531e-05,6.9183673469387755e-06,1.98645e-11,39940,12929,12.188053131103516,50.786224365234375,0.4040665626525879
1,4,1.0102040816326531e-05,6.9183673469387755e-06,1.98645e-11,46122,14893,15.874238729476929,0.9366605281829834,0.3983957767486572
2,0,1.0204081632653061e-05,6.836734693877551e-06,8.77771e-11,281,98,0.33898448944091797,0.4997677803039551,0.03537344932556152
2,0,1.0204081632653061e-05,6.836734693877551e-06,2.35843e-11,3037,1061,0.852055549621582,2.499924421310425,0.06002664566040039
2,1,1.0204081632653061e-05,6.836734693877551e-06,2.02452e-11,16553,5595,2.9994795322418213,20.097599506378174,0.23252463340759277
2,2,1.0204081632653061e-05,6.836734693877551e-06,2.04092e-11,32775,10621,7.67333722114563,42.41012454032898,0.32404589653015137
2,3,1.0204081632653061e-05,6.836734693877551e-06,2.03941e-11,40983,13267,12.980751037597656,54.44645810127258,0.4153482913970947
2,4,1.0204081632653061e-05,6.836734693877551e-06,2.03941e-11,46878,15104,16.26357412338257,0.8731532096862793,0.38190507888793945
3,0,1.0306122448979593e-05,6.755102040816327e-06,8.85465e-11,275,97,0.37546563148498535,0.7362194061279297,0.04413437843322754
3,0,1.0306122448979593e-05,6.755102040816327e-06,2.38333e-11,3443,1201,0.8829011917114258,2.892275094985962,0.06338167190551758
3,1,1.0306122448979593e-05,6.755102040816327e-06,2.08951e-11,17098,5755,2.8993477821350098,18.07453203201294,0.19515228271484375
3,2,1.0306122448979593e-05,6.755102040816327e-06,2.10211e-11,33338,10818,7.872055530548096,42.612102031707764,0.37064337730407715
