simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
0,0,5e-06,5e-07,3.11843e-09,25,18,0.4060792922973633,0.4090735912322998,0.04582834243774414
0,0,5e-06,5e-07,6.77108e-09,984,388,0.6113948822021484,0.889507532119751,0.05260324478149414
0,1,5e-06,5e-07,6.77309e-10,5141,1639,1.255845546722412,5.826483488082886,0.07999920845031738
0,2,5e-06,5e-07,2.96421e-10,20526,5786,3.432316303253174,31.666278839111328,0.1666409969329834
1,0,5e-06,6.2351406439093e-07,2.48651e-09,25,18,0.41387510299682617,0.8794004917144775,0.04946398735046387
1,0,5e-06,6.2351406439093e-07,1.73557e-09,987,384,0.6858739852905273,0.9185476303100586,0.05082082748413086
1,1,5e-06,6.2351406439093e-07,2.76614e-10,7067,2277,1.4883759021759033,7.869187593460083,0.09066271781921387
1,2,5e-06,6.2351406439093e-07,1.86298e-10,33114,9560,5.931155204772949,56.058364391326904,0.33135080337524414
2,0,5e-06,7.77539576986592e-07,2.36645e-09,65,26,0.1960461139678955,0.9911906719207764,0.04629254341125488
2,0,5e-06,7.77539576986592e-07,4.69454e-09,747,299,0.5830247402191162,0.8964152336120605,0.050995588302612305
2,1,5e-06,7.77539576986592e-07,4.11736e-10,5167,1756,1.3029165267944336,4.874637603759766,0.08330392837524414
2,2,5e-06,7.77539576986592e-07,1.72906e-10,29228,8691,4.840249061584473,43.009007692337036,0.27767395973205566
3,0,5e-06,9.696137237434287e-07,2.00969e-09,65,26,0.1959667205810547,0.8968896865844727,0.05675554275512695
3,0,5e-06,9.696137237434287e-07,7.61468e-10,997,366,0.6814236640930176,1.3258817195892334,0.050852060317993164
3,1,5e-06,9.696137237434287e-07,2.33506e-10,8028,2661,1.566864252090454,7.98140811920166,0.10088181495666504
3,2,5e-06,9.696137237434287e-07,1.28064e-10,44508,13311,7.881287336349487,68.07288813591003,0.5366251468658447
4,0,5e-06,1.2091355875609794e-06,1.73439e-09,65,26,0.20192241668701172,0.752601146697998,0.04788517951965332
4,0,5e-06,1.2091355875609794e-06,2.66447e-09,979,379,0.7054102420806885,1.822404146194458,0.056411027908325195
4,1,5e-06,1.2091355875609794e-06,2.73898e-10,7138,2485,1.5440168380737305,7.7496912479400635,0.1582326889038086
4,2,5e-06,1.2091355875609794e-06,1.15597e-10,45853,13709,8.05439567565918,70.04693341255188,0.40711498260498047
5,0,5e-06,1.5078260891997199e-06,1.52374e-09,65,26,0.1951005458831787,0.9144041538238525,0.05671811103820801
5,0,5e-06,1.5078260891997199e-06,2.25733e-09,1260,469,1.2295544147491455,1.7784600257873535,0.05340313911437988
5,1,5e-06,1.5078260891997199e-06,2.19686e-10,9557,3258,1.8545434474945068,8.907073020935059,0.12637972831726074
5,2,5e-06,1.5078260891997199e-06,9.44882e-11,60710,18122,10.494359254837036,112.61898899078369,0.9802970886230469
6,0,5e-06,1.8803015465431966e-06,1.36478e-09,65,26,0.562788724899292,0.9114820957183838,0.1068115234375
6,0,5e-06,1.8803015465431966e-06,1.69042e-09,1447,537,1.081178903579712,2.972543478012085,0.06128215789794922
6,1,5e-06,1.8803015465431966e-06,1.46928e-10,12812,4352,3.4846913814544678,15.286789655685425,0.1643068790435791
6,2,5e-06,1.8803015465431966e-06,7.93922e-11,78017,23311,18.343464851379395,154.33690690994263,2.9591145515441895
7,0,5e-06,2.3447889191314e-06,1.08611e-09,65,26,0.3955841064453125,1.2837979793548584,0.09405350685119629
7,0,5e-06,2.3447889191314e-06,1.39207e-09,1773,670,1.2427945137023926,3.5438930988311768,0.0870962142944336
7,1,5e-06,2.3447889191314e-06,1.33003e-10,13854,4774,2.988234043121338,17.54998469352722,0.20885586738586426
7,2,5e-06,2.3447889191314e-06,6.93008e-11,80679,24288,18.28600549697876,148.33451652526855,1.0635428428649902
8,0,5e-06,2.9240177382128637e-06,1.06795e-09,65,26,0.3719477653503418,0.7943077087402344,0.05244135856628418
8,0,5e-06,2.9240177382128637e-06,1.24437e-09,1974,749,1.500575304031372,3.618983745574951,0.06825757026672363
8,1,5e-06,2.9240177382128637e-06,1.20364e-10,15058,5285,3.005748748779297,19.61136555671692,0.20322370529174805
8,2,5e-06,2.9240177382128637e-06,5.97962e-11,85192,25972,19.18278169631958,166.6828167438507,1.5345869064331055
9,0,5e-06,3.646332368608554e-06,1.05701e-09,65,26,0.3910856246948242,1.041762351989746,0.084503173828125
9,0,5e-06,3.646332368608554e-06,6.53159e-10,1513,544,1.2203869819641113,4.921389579772949,0.07697391510009766
9,1,5e-06,3.646332368608554e-06,8.9715e-11,14303,4941,2.9312758445739746,15.800648212432861,0.1656346321105957
9,2,5e-06,3.646332368608554e-06,5.2158e-11,85962,26205,16.340532302856445,146.3216962814331,0.8879458904266357
10,0,5e-06,4.547079030542653e-06,9.21732e-10,65,26,0.611175537109375,1.19581937789917,0.12663984298706055
10,0,5e-06,4.547079030542653e-06,9.89076e-10,1326,490,1.2706019878387451,2.7525830268859863,0.1808454990386963
10,1,5e-06,4.547079030542653e-06,7.07983e-11,15704,5509,3.568378210067749,19.655308961868286,0.19576358795166016
10,2,5e-06,4.547079030542653e-06,4.60295e-11,88168,27493,17.187686920166016,142.12199783325195,0.8433444499969482
11,0,5e-06,5.670335454880839e-06,1.41368e-09,61,25,0.2887439727783203,1.4571290016174316,0.058868408203125
11,0,5e-06,5.670335454880839e-06,1.86072e-10,1780,657,0.827139139175415,2.8340706825256348,0.05923795700073242
11,1,5e-06,5.670335454880839e-06,4.71707e-11,16738,5651,2.9913408756256104,19.478763818740845,0.1914377212524414
11,2,5e-06,5.670335454880839e-06,4.20888e-11,108079,33024,21.21668314933777,190.77335906028748,1.5725481510162354
12,0,5e-06,7.071067811865475e-06,1.47492e-09,61,25,0.2864048480987549,0.7154016494750977,0.04731631278991699
12,0,5e-06,7.071067811865475e-06,2.08488e-10,1312,456,0.816627025604248,3.4524781703948975,0.05384349822998047
12,1,5e-06,7.071067811865475e-06,4.5915e-11,13394,4523,2.266207695007324,15.241511344909668,0.16588854789733887
12,2,5e-06,7.071067811865475e-06,3.84781e-11,90723,28331,16.957822561264038,155.73905897140503,0.8986194133758545
13,0,5e-06,8.817820461920245e-06,7.92687e-10,49,23,0.30524706840515137,0.893756628036499,0.0452878475189209
13,0,5e-06,8.817820461920245e-06,2.55955e-10,10022,3967,4.5615692138671875,15.69871735572815,0.15616559982299805
13,1,5e-06,8.817820461920245e-06,4.23497e-11,47482,15797,10.90503740310669,75.61617064476013,0.5361144542694092
14,0,5e-06,1.09960701505628e-05,1.80599e-09,57,24,0.15459275245666504,0.44306087493896484,0.04283285140991211
14,0,5e-06,1.09960701505628e-05,3.2458e-10,5680,2447,4.792236328125,6.728960275650024,0.11704373359680176
14,1,5e-06,1.09960701505628e-05,4.76342e-11,36124,13507,8.731666564941406,60.79438877105713,0.47286128997802734
14,2,5e-06,1.09960701505628e-05,3.34336e-11,118313,37994,27.858407258987427,217.45672845840454,1.8904623985290527
15,0,5e-06,1.3712408783810365e-05,1.56886e-09,61,25,0.3746969699859619,1.025313138961792,0.06373786926269531
15,0,5e-06,1.3712408783810365e-05,3.76799e-10,1570,560,0.7971134185791016,2.9125213623046875,0.0574955940246582
15,1,5e-06,1.3712408783810365e-05,4.79725e-11,20206,7212,4.391608238220215,30.42558240890503,0.25548410415649414
15,2,5e-06,1.3712408783810365e-05,3.23137e-11,107137,34021,23.716801166534424,239.45835208892822,1.8939921855926514
16,0,5e-06,1.7099759466766982e-05,1.5525e-09,61,25,0.3126077651977539,1.0190222263336182,0.04845237731933594
16,0,5e-06,1.7099759466766982e-05,3.68798e-10,1876,665,0.8030288219451904,4.094003677368164,0.061098575592041016
16,1,5e-06,1.7099759466766982e-05,4.34799e-11,19646,6708,3.596679449081421,31.628527879714966,0.23301196098327637
