match,group,is_participating,start,end,content
1,0,yes,318,358,Phi 	5.80245e-11	5.84667e-11	5.16836e-11
2,0,yes,652,692,Phi 	5.07871e-11	5.11134e-11	4.31776e-11
3,0,yes,987,1027,Phi 	4.41439e-11	4.43783e-11	3.59581e-11
4,0,yes,1322,1362,Phi 	3.82402e-11	3.83924e-11	2.97852e-11
5,0,yes,1657,1697,Phi 	3.29668e-11	3.31524e-11	2.44664e-11
6,0,yes,1991,2031,Phi 	2.85469e-11	2.86825e-11	2.03928e-11
7,0,yes,2325,2365,Phi 	2.47202e-11	2.48157e-11	1.70984e-11
8,0,yes,2734,2773,Phi 	2.15428e-11	2.15987e-11	1.4431e-11
9,0,yes,3543,3583,Phi 	1.89327e-11	1.89639e-11	1.22732e-11
10,0,yes,4295,4335,Phi 	1.67127e-11	1.67301e-11	1.06066e-11
11,0,yes,5047,5087,Phi 	1.49266e-11	1.49405e-11	9.28404e-12
12,0,yes,5798,5838,Phi 	1.34791e-11	1.34725e-11	8.31213e-12
13,0,yes,6572,6612,Phi 	1.23148e-11	1.23342e-11	7.22505e-12
14,0,yes,7322,7362,Phi 	1.13811e-11	1.13926e-11	6.83515e-12
15,0,yes,8072,8112,Phi 	1.07166e-11	1.07338e-11	6.34423e-12
16,0,yes,9299,9339,Phi 	9.94099e-12	9.97222e-12	5.82697e-12
17,0,yes,10526,10566,Phi 	9.36822e-12	9.43102e-12	5.48045e-12
18,0,yes,11694,11734,Phi 	8.85695e-12	8.91764e-12	5.23761e-12
19,0,yes,12803,12842,Phi 	8.54647e-12	8.62674e-12	5.0629e-12
20,0,yes,13911,13950,Phi 	8.27829e-12	8.35277e-12	4.9062e-12
21,0,yes,14684,14724,Phi 	8.34598e-12	8.43274e-12	4.00814e-12
22,0,yes,15964,16003,Phi 	7.82544e-12	7.9126e-12	4.59365e-12
23,0,yes,16859,16899,Phi 	8.02093e-12	8.11897e-12	3.56518e-12

