R,D,Analytic,Numerical
1.5e-05,4e-07,3.9703938427462754e-10,4.13346e-10
1.5625e-05,4e-07,4.13582691952737e-10,4.29625e-10
1.6250000000000002e-05,4e-07,4.3012599963084657e-10,4.47548e-10
1.6875e-05,4e-07,4.466693073089559e-10,4.64962e-10
1.7500000000000002e-05,4e-07,4.632126149870655e-10,4.82596e-10
1.8125e-05,4e-07,4.797559226651749e-10,4.99804e-10
1.8750000000000002e-05,4e-07,4.962992303432845e-10,5.1685e-10
1.9375e-05,4e-07,5.128425380213939e-10,5.34169e-10
2e-05,4e-07,5.293858456995034e-10,5.50487e-10
2.0625e-05,4e-07,5.459291533776129e-10,5.68954e-10
2.125e-05,4e-07,5.624724610557224e-10,5.85879e-10
2.1875e-05,4e-07,5.790157687338319e-10,6.03847e-10
2.25e-05,4e-07,5.955590764119413e-10,6.20379e-10
2.3125e-05,4e-07,6.121023840900507e-10,6.37823e-10
2.375e-05,4e-07,6.286456917681603e-10,6.54999e-10
2.4375000000000003e-05,4e-07,6.451889994462699e-10,6.71764e-10
2.5e-05,4e-07,6.617323071243792e-10,6.89975e-10
2.5625e-05,4e-07,6.782756148024887e-10,7.05154e-10
2.625e-05,4e-07,6.948189224805983e-10,7.24617e-10
2.6875000000000003e-05,4e-07,7.113622301587076e-10,7.42048e-10
2.75e-05,4e-07,7.279055378368171e-10,7.59039e-10
2.8125e-05,4e-07,7.444488455149266e-10,7.76659e-10
2.875e-05,4e-07,7.609921531930361e-10,7.9114e-10
2.9375000000000003e-05,4e-07,7.775354608711457e-10,8.11034e-10
3e-05,4e-07,7.940787685492551e-10,8.2795e-10
