simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
0,0,1.2e-05,5e-07,4.83388e-10,1432,562,0.4223196506500244,0.9390609264373779,0.07936978340148926
0,1,1.2e-05,5e-07,5.66509e-10,6735,2218,1.8706276416778564,3.4818410873413086,0.07364225387573242
0,2,1.2e-05,5e-07,1.11924e-07,6735,2218,3.2260520458221436,4.362045764923096,0.17871618270874023
0,3,1.2e-05,5e-07,1.11924e-07,6735,2218,3.2474231719970703,4.389527320861816,0.1756446361541748
0,4,1.2e-05,5e-07,1.11924e-07,6735,2218,3.2903218269348145,4.469945430755615,0.17688298225402832
1,0,6e-06,5e-07,2.50521e-10,708,285,0.28331899642944336,0.6886296272277832,0.03944849967956543
1,1,6e-06,5e-07,2.85358e-10,3626,1227,1.0004277229309082,2.091500759124756,0.0556187629699707
1,2,6e-06,5e-07,8.80186e-08,13722,4345,13.203248500823975,17.25512194633484,0.13828706741333008
1,3,6e-06,5e-07,8.80186e-08,44243,12812,10.065605163574219,0.5238819122314453,0.14014315605163574
1,4,6e-06,5e-07,8.80186e-08,44243,12812,9.86052417755127,0.5360002517700195,0.13753843307495117
2,0,3e-06,5e-07,1.32081e-10,348,147,0.21257996559143066,0.4741997718811035,0.03767824172973633
2,1,3e-06,5e-07,1.34565e-10,1723,590,0.6795284748077393,1.2457478046417236,0.045851707458496094
2,2,3e-06,5e-07,3.16799e-10,12108,3593,2.2042641639709473,13.817198991775513,0.10434126853942871
2,3,3e-06,5e-07,2.28612e-10,43015,11461,7.362260580062866,72.84411573410034,0.4245595932006836
2,4,3e-06,5e-07,1.21771e-10,78233,20018,17.179423809051514,167.22939229011536,0.7408745288848877
